game_id,player_id,player_name,posteam,air_yards,yards_after_catch,cpoe,qb_epa,pass_attempts,complete_passes,avg_air_yards_x,avg_yac_x,pass_location_left,pass_location_middle,pass_location_right,pass_length_short,pass_length_medium,pass_length_deep,rush_attempts,first_downs_rush,xyac_mean,xyac_median,xyac_success_rate,rush_epa,run_location_left,run_location_middle,run_location_right,run_gap_guard,run_gap_tackle,run_gap_end,receiving_attempts,first_downs_receiving,receiving_epa,avg_yac_y,avg_air_yards_y,solo_tackles,assisted_tackles,tackles_for_loss,qb_hits,sacks,interceptions,forced_fumbles,fumble_recoveries,pass_defenses,position,team
2024_01_NYJ_SF,00-0029892,K.Juszczyk,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.1537273,5.0,11.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_01_NYJ_SF,00-0033288,G.Kittle,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.2682899,2.25,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,SF
2024_01_NYJ_SF,00-0033576,E.Saubert,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.4288409,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,SF
2024_01_NYJ_SF,00-0036259,J.Jennings,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.70921,2.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_01_NYJ_SF,00-0036261,B.Aiyuk,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.2746978,0.5,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_02_SF_MIN,00-0029892,K.Juszczyk,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,-5.143916,0.33333334,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_02_SF_MIN,00-0032128,C.Conley,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1795147,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_02_SF_MIN,00-0033288,G.Kittle,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,7.117309,6.428571,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,SF
2024_02_SF_MIN,00-0033576,E.Saubert,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.4695836,5.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,SF
2024_02_SF_MIN,00-0036259,J.Jennings,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.10221434,3.0,13.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_02_SF_MIN,00-0036261,B.Aiyuk,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.87371,1.25,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
2024_03_SF_LA,00-0029892,K.Juszczyk,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.26004398,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,SF
2024_03_SF_LA,00-0033576,E.Saubert,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.5957016,1.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,SF
2024_03_SF_LA,00-0036259,J.Jennings,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,15.495835,2.3636363,12.416667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,SF
